application_id,credit_score,income,dti,employment_status,age,loan_amount
60001,773,165092,0.37,employed,55,233771
60002,372,63546,0.6,self-employed,31,192430
60003,454,34732,0.18,self-employed,28,315198
60004,566,72391,0.25,employed,34,254244
60005,501,61448,0.12,unemployed,38,120644
60006,664,95851,0.57,unemployed,38,69214
60007,608,94778,0.19,employed,37,88945
60008,647,65181,0.16,unemployed,21,486638
60009,353,39110,0.18,employed,47,340796
60010,847,132789,0.5,employed,51,488657
60011,829,89873,0.43,self-employed,26,119266
60012,820,170343,0.11,employed,54,281541
60013,709,42619,0.28,unemployed,36,463725
60014,317,152951,0.57,self-employed,26,37862
60015,683,92274,0.19,employed,63,100368
60016,420,39672,0.58,employed,36,323061
60017,555,170817,0.14,self-employed,64,36505
60018,338,106896,0.22,unemployed,35,168937
60019,559,117567,0.59,self-employed,62,416488
60020,304,34494,0.53,unemployed,33,199085
60021,666,42087,0.58,employed,38,95079
60022,649,184291,0.18,employed,58,87449
60023,809,157522,0.34,self-employed,35,36171
60024,806,194116,0.31,unemployed,58,79637
60025,653,72609,0.48,unemployed,58,408209
60026,591,41310,0.55,unemployed,47,96092
60027,816,169436,0.36,employed,61,411134
60028,429,113941,0.19,self-employed,57,437600
60029,459,137504,0.51,self-employed,38,329146
60030,497,26703,0.29,employed,50,417048
60031,486,50140,0.1,employed,59,487919
60032,375,198811,0.13,employed,65,88556
60033,667,117915,0.37,self-employed,41,394663
60034,480,148560,0.34,self-employed,38,249887
60035,728,39492,0.13,self-employed,52,252878
60036,565,119003,0.37,self-employed,57,201617
60037,792,194296,0.26,self-employed,34,480623
60038,597,198133,0.59,unemployed,35,169329
60039,362,106954,0.4,employed,22,42324
60040,441,128410,0.36,unemployed,64,194313
60041,366,153834,0.16,self-employed,61,108743
60042,504,20948,0.53,employed,45,182137
60043,575,197020,0.33,employed,31,471686
60044,683,24853,0.44,self-employed,26,315223
60045,669,68474,0.55,unemployed,32,425876
60046,398,70897,0.58,unemployed,41,241560
60047,600,82816,0.47,employed,65,18139
60048,452,191057,0.48,self-employed,58,107708
60049,317,58160,0.35,employed,62,299918
