application_id,credit_score,income,dti,employment_status,age,loan_amount
40001,713,163249,0.58,self-employed,28,238176
40002,366,102100,0.51,employed,50,107035
40003,774,160847,0.23,self-employed,58,463727
40004,744,121780,0.18,unemployed,38,445833
40005,364,36677,0.22,unemployed,45,208394
40006,385,164477,0.37,employed,39,66248
40007,584,116906,0.32,unemployed,51,343563
40008,815,78041,0.24,self-employed,36,492997
40009,618,120854,0.31,employed,34,113050
40010,452,99338,0.44,unemployed,45,417910
40011,516,192449,0.43,employed,41,384696
40012,785,196443,0.54,self-employed,31,55971
40013,479,75978,0.49,self-employed,32,189720
40014,329,82830,0.1,employed,31,210651
40015,636,43695,0.48,unemployed,63,17985
40016,528,44482,0.27,self-employed,40,406754
40017,468,139537,0.28,employed,53,399058
40018,792,43651,0.11,employed,33,180863
40019,478,152507,0.49,unemployed,55,368922
40020,805,59745,0.26,employed,21,383359
40021,499,38368,0.35,employed,59,415137
40022,558,183160,0.2,unemployed,48,132372
40023,377,27793,0.48,employed,64,205642
40024,469,79236,0.12,employed,40,110334
40025,752,164747,0.42,unemployed,46,465223
40026,776,94098,0.12,employed,34,75511
40027,569,24745,0.36,employed,26,87071
40028,796,29839,0.55,employed,42,124539
40029,484,60748,0.3,unemployed,28,84253
40030,710,59498,0.25,self-employed,22,71967
40031,685,112179,0.57,unemployed,40,385005
40032,346,34489,0.21,unemployed,56,54564
40033,427,37363,0.29,unemployed,46,466122
40034,664,107293,0.41,unemployed,21,83235
40035,631,107921,0.41,self-employed,23,41900
40036,500,154055,0.58,unemployed,51,274506
40037,334,149193,0.4,employed,24,457071
40038,546,32453,0.28,unemployed,47,315148
40039,722,180893,0.17,unemployed,43,496059
40040,374,22934,0.54,employed,26,62625
40041,750,31524,0.12,self-employed,45,291114
40042,836,34832,0.14,employed,37,388763
40043,641,103152,0.37,unemployed,30,467958
40044,617,130606,0.56,employed,26,442891
40045,341,124388,0.43,employed,53,375387
40046,609,116777,0.57,self-employed,31,368888
40047,823,68126,0.29,employed,47,312488
40048,388,152279,0.47,unemployed,24,269968
40049,737,97554,0.28,unemployed,21,138709
40050,370,73277,0.4,employed,49,372886
40051,832,182578,0.19,unemployed,43,301302
40052,584,191349,0.3,unemployed,26,158114
40053,613,98976,0.19,employed,23,87051
40054,401,149813,0.34,unemployed,59,323048
40055,668,87183,0.39,unemployed,22,15489
40056,844,120348,0.11,self-employed,45,488130
40057,684,161943,0.4,self-employed,51,68677
40058,793,30953,0.42,self-employed,62,84349
40059,652,189684,0.47,self-employed,42,260118
40060,331,148339,0.15,self-employed,43,146089
40061,397,47012,0.38,self-employed,56,67502
40062,383,144154,0.26,self-employed,40,127249
40063,512,119190,0.38,employed,37,196527
40064,848,126734,0.21,employed,43,398324
40065,319,114899,0.18,self-employed,49,258433
40066,345,42080,0.2,employed,44,140512
40067,770,31560,0.48,unemployed,22,400763
40068,808,105860,0.42,unemployed,45,286504
40069,396,83082,0.34,self-employed,29,95867
40070,628,186662,0.17,employed,54,162673
40071,641,153970,0.36,self-employed,21,364947
40072,695,188310,0.12,employed,22,57969
40073,561,38207,0.12,employed,42,277964
40074,604,104227,0.43,self-employed,60,465169
40075,342,172076,0.44,self-employed,30,275586
40076,769,54926,0.45,self-employed,65,327937
40077,659,50685,0.42,employed,31,443164
40078,383,38004,0.32,employed,64,83047
40079,734,108784,0.52,employed,25,327574
40080,411,44173,0.19,employed,62,301502
40081,453,65041,0.17,employed,38,480444
40082,351,146786,0.27,employed,37,324086
40083,311,51827,0.53,self-employed,49,99040
40084,390,104393,0.57,unemployed,65,124754
40085,780,61582,0.34,employed,43,166154
40086,734,68134,0.32,self-employed,50,174589
40087,594,76356,0.26,self-employed,64,53475
40088,698,144161,0.56,employed,54,181710
40089,340,183158,0.58,employed,51,468271
40090,803,57548,0.36,self-employed,50,335360
40091,363,141173,0.17,self-employed,31,196892
40092,576,54826,0.29,employed,48,68692
40093,815,145367,0.34,self-employed,47,46314
40094,373,129201,0.48,unemployed,40,455709
40095,321,26934,0.13,employed,29,20674
40096,634,115385,0.41,unemployed,63,274552
40097,317,180746,0.25,employed,47,414500
40098,576,94645,0.37,self-employed,57,164953
40099,352,174745,0.24,employed,42,200566
40100,517,41371,0.27,unemployed,53,228755
40101,727,57830,0.14,employed,27,403287
40102,559,171001,0.46,employed,38,71052
40103,433,45758,0.48,unemployed,40,82088
40104,483,133734,0.13,employed,29,271693
40105,349,64896,0.13,employed,57,22543
40106,471,158586,0.43,self-employed,37,464532
40107,626,63598,0.43,self-employed,48,43055
40108,430,184343,0.26,self-employed,58,418328
40109,796,76568,0.51,employed,65,181017
40110,395,150834,0.46,self-employed,21,112130
40111,620,151655,0.4,unemployed,36,15140
40112,705,187011,0.46,self-employed,64,93949
40113,339,65097,0.31,employed,28,7653
40114,465,91492,0.26,self-employed,45,112505
40115,694,162552,0.29,employed,64,391801
40116,636,144218,0.2,self-employed,55,483221
40117,532,159683,0.35,employed,38,278662
40118,783,71812,0.13,employed,55,362613
40119,384,44577,0.42,self-employed,36,467199
40120,759,124981,0.55,employed,30,229583
40121,811,56225,0.29,employed,64,399400
40122,672,42746,0.47,self-employed,42,265520
40123,647,93284,0.4,unemployed,34,30443
40124,442,126549,0.33,unemployed,31,92661
40125,779,63574,0.27,employed,43,258337
40126,445,138509,0.57,unemployed,33,483752
40127,608,68147,0.29,employed,53,394462
40128,607,121896,0.51,unemployed,26,225566
40129,322,193469,0.23,unemployed,42,98263
40130,455,128786,0.4,unemployed,27,266718
40131,831,112055,0.25,self-employed,52,304176
40132,511,197542,0.18,unemployed,57,148292
40133,639,164203,0.55,unemployed,37,461649
40134,551,91639,0.4,unemployed,22,339367
40135,832,23207,0.25,self-employed,46,307868
40136,586,158664,0.43,self-employed,61,278232
40137,766,132179,0.16,unemployed,40,264810
40138,495,196415,0.12,unemployed,21,189846
40139,706,92467,0.36,unemployed,42,376966
40140,711,181504,0.52,unemployed,46,7004
40141,469,28263,0.33,self-employed,54,73846
40142,758,182342,0.54,unemployed,27,84753
40143,382,70115,0.15,self-employed,38,127407
40144,490,174354,0.35,employed,60,426046
40145,516,123307,0.19,unemployed,65,270358
40146,478,126339,0.15,employed,40,451020
40147,743,60940,0.15,self-employed,39,168534
40148,441,59677,0.46,employed,65,298497
40149,837,136615,0.5,unemployed,49,126741
40150,834,55692,0.47,self-employed,46,293609
40151,581,176440,0.38,employed,46,174137
40152,583,38674,0.2,self-employed,65,49579
40153,580,50230,0.18,unemployed,21,106376
40154,691,21126,0.32,employed,22,18783
40155,500,151005,0.43,employed,24,292492
40156,458,177353,0.57,employed,46,403128
40157,391,196675,0.59,self-employed,35,21865
40158,733,23207,0.56,self-employed,39,347761
