application_id,credit_score,income,dti,employment_status,age,loan_amount
70001,484,58131,0.31,self-employed,30,19239
70002,643,41715,0.41,unemployed,60,17807
70003,712,122022,0.35,self-employed,65,424823
70004,412,146240,0.16,self-employed,61,153385
70005,440,22362,0.5,self-employed,61,439277
70006,478,60364,0.41,employed,60,398263
70007,471,37595,0.49,unemployed,40,437345
70008,444,43516,0.39,employed,47,252507
70009,552,94649,0.29,employed,24,158799
70010,787,74653,0.25,self-employed,22,488605
70011,321,27580,0.23,self-employed,22,95368
70012,643,171206,0.21,unemployed,50,279305
70013,523,55281,0.28,employed,54,18872
70014,766,190417,0.51,unemployed,55,153761
70015,322,115529,0.48,employed,38,29267
70016,300,22070,0.27,unemployed,64,71884
70017,780,191093,0.17,employed,47,158889
70018,834,169587,0.41,self-employed,54,406502
70019,356,119037,0.33,self-employed,62,156308
70020,758,133406,0.3,self-employed,48,168503
70021,346,182701,0.21,employed,35,480162
70022,473,181182,0.4,self-employed,42,487196
70023,484,128616,0.51,unemployed,31,318097
70024,607,118493,0.11,self-employed,47,214420
70025,786,74740,0.27,unemployed,36,105039
70026,794,91315,0.35,employed,57,112867
70027,316,108032,0.26,self-employed,50,460272
70028,567,132812,0.1,unemployed,24,495952
70029,793,20005,0.34,employed,33,413617
70030,361,28064,0.27,self-employed,22,162491
70031,512,130509,0.11,unemployed,48,31115
70032,511,61149,0.14,self-employed,51,335574
70033,473,155146,0.51,unemployed,30,366249
70034,791,185685,0.59,employed,35,15369
70035,799,77431,0.47,self-employed,50,458945
70036,638,26530,0.26,unemployed,29,237352
70037,734,157347,0.37,self-employed,64,135565
70038,423,35511,0.29,self-employed,47,300405
70039,364,139629,0.38,unemployed,37,402758
70040,330,46843,0.15,employed,38,153685
70041,810,75025,0.17,employed,44,164303
70042,310,115145,0.56,self-employed,27,26446
70043,655,162227,0.33,employed,40,149103
70044,360,66872,0.21,employed,64,113375
70045,386,51647,0.14,unemployed,32,133231
70046,794,70278,0.27,employed,59,214061
70047,372,67139,0.45,self-employed,44,235817
70048,720,84147,0.13,employed,62,334346
70049,603,176984,0.58,self-employed,44,368501
70050,586,61543,0.31,self-employed,43,498383
70051,533,146402,0.16,self-employed,44,381612
70052,340,178450,0.26,unemployed,55,275778
70053,648,160244,0.4,employed,56,314720
70054,721,198246,0.31,employed,30,123983
70055,628,35369,0.51,unemployed,46,350415
70056,596,67204,0.11,employed,56,411008
70057,416,161711,0.32,employed,36,20354
70058,538,148660,0.41,employed,64,365119
70059,490,73264,0.45,self-employed,42,36733
70060,734,43291,0.23,unemployed,28,337771
70061,430,91824,0.31,employed,42,156450
70062,355,86658,0.3,self-employed,61,304642
70063,827,81173,0.41,unemployed,64,103725
70064,630,92352,0.5,unemployed,22,125692
70065,426,29533,0.24,unemployed,24,442187
70066,812,127775,0.33,self-employed,37,158192
70067,795,124334,0.56,unemployed,58,85455
70068,331,186716,0.34,unemployed,50,145073
70069,440,82809,0.41,self-employed,54,209415
70070,527,82680,0.36,self-employed,55,166827
70071,324,187282,0.38,unemployed,44,225315
70072,354,94017,0.45,self-employed,53,94750
70073,383,77457,0.42,unemployed,36,326499
70074,719,138962,0.1,self-employed,26,495948
70075,316,194420,0.6,unemployed,46,254359
70076,498,167747,0.2,employed,23,256094
70077,469,138064,0.53,self-employed,45,280450
70078,313,197127,0.29,employed,34,492134
70079,850,152478,0.57,employed,42,336420
70080,507,26835,0.2,employed,53,408408
70081,524,51741,0.26,self-employed,39,38419
70082,756,38356,0.44,employed,61,362743
70083,522,39784,0.53,self-employed,55,113699
70084,526,105420,0.53,unemployed,24,447934
70085,435,66175,0.12,employed,47,153314
70086,378,35791,0.49,unemployed,56,35804
70087,420,176017,0.35,unemployed,24,340062
70088,435,106973,0.21,employed,59,491814
70089,650,78638,0.46,employed,55,243865
70090,443,31411,0.21,employed,63,369762
70091,576,38085,0.19,self-employed,36,187131
70092,472,134594,0.27,employed,29,437631
70093,743,198950,0.52,self-employed,49,368371
70094,676,79990,0.5,employed,64,134127
