application_id,credit_score,income,dti,employment_status,age,loan_amount
90001,354,136196,0.52,self-employed,27,460082
90002,616,24855,0.51,employed,43,161576
90003,435,148960,0.12,self-employed,39,215506
90004,603,86089,0.53,unemployed,50,299979
90005,611,59274,0.58,employed,45,260758
90006,788,124047,0.33,employed,35,198563
90007,618,138309,0.58,employed,30,97306
90008,400,33811,0.44,employed,27,348563
90009,469,55362,0.41,self-employed,48,89431
90010,545,189561,0.4,unemployed,54,70082
90011,589,47240,0.22,employed,65,187378
90012,669,56270,0.16,unemployed,34,187909
90013,563,117056,0.17,employed,50,242267
90014,837,130787,0.31,self-employed,26,16573
90015,378,88593,0.35,self-employed,31,244082
90016,554,117549,0.51,self-employed,57,222968
90017,470,48440,0.23,self-employed,60,130226
90018,349,72285,0.58,unemployed,55,267359
90019,309,45709,0.28,unemployed,55,448215
90020,602,27369,0.55,unemployed,33,5312
90021,850,78139,0.24,unemployed,62,229583
90022,721,109619,0.59,unemployed,47,172377
90023,631,71721,0.15,unemployed,50,59775
90024,693,50482,0.4,employed,51,392602
90025,398,69111,0.37,self-employed,35,273961
90026,845,53829,0.53,employed,55,299283
90027,420,148356,0.1,employed,34,27343
90028,603,155314,0.17,employed,61,343900
90029,396,55294,0.5,employed,32,420716
90030,431,41348,0.35,self-employed,36,233494
90031,463,166202,0.41,self-employed,32,285538
90032,356,73560,0.5,employed,23,374830
90033,386,36853,0.45,employed,32,291920
90034,382,149070,0.52,self-employed,55,451496
90035,814,95218,0.52,unemployed,27,364857
90036,352,48920,0.11,self-employed,46,398708
90037,586,173660,0.24,self-employed,34,280762
90038,776,87378,0.58,unemployed,49,476793
90039,340,63779,0.25,unemployed,36,327367
90040,388,148752,0.49,unemployed,47,494224
90041,541,81354,0.15,unemployed,37,400321
90042,583,151246,0.31,unemployed,48,434722
90043,331,139768,0.58,self-employed,51,40092
90044,828,103849,0.58,unemployed,36,426329
90045,439,141098,0.31,unemployed,56,52484
90046,421,106073,0.42,unemployed,62,71549
90047,565,138664,0.24,self-employed,37,255921
90048,559,113496,0.16,employed,57,471967
90049,629,173074,0.49,employed,30,441665
90050,833,39177,0.35,self-employed,34,214064
90051,302,92215,0.37,unemployed,27,95370
90052,431,196539,0.34,employed,32,26909
90053,817,183250,0.17,unemployed,22,304932
90054,839,112330,0.29,employed,45,372655
90055,503,139181,0.1,employed,47,156781
90056,727,105035,0.51,employed,24,313126
90057,449,123235,0.27,unemployed,49,343048
90058,459,195975,0.54,self-employed,61,73112
90059,495,61652,0.42,self-employed,39,117858
90060,818,150154,0.18,employed,54,241617
90061,371,114997,0.44,unemployed,54,372487
90062,598,185653,0.3,self-employed,33,248108
90063,384,191707,0.5,unemployed,47,423382
90064,526,159641,0.19,employed,45,307941
90065,409,29153,0.19,employed,42,42415
90066,554,42662,0.37,unemployed,52,191247
90067,301,47406,0.48,unemployed,30,396859
90068,386,132859,0.2,self-employed,37,105297
90069,467,178680,0.38,employed,57,266187
90070,522,189251,0.26,self-employed,46,243010
90071,397,179893,0.24,unemployed,25,38272
90072,398,183626,0.58,unemployed,55,274350
90073,348,133571,0.29,employed,26,153212
90074,638,193075,0.39,self-employed,50,318229
90075,433,139127,0.39,employed,55,222266
90076,323,150479,0.56,self-employed,45,411507
90077,796,100297,0.51,self-employed,41,189658
90078,469,104120,0.33,unemployed,64,355658
90079,820,108292,0.23,self-employed,47,354370
90080,559,118142,0.13,unemployed,52,98070
90081,457,127201,0.18,self-employed,23,104284
90082,532,80981,0.32,employed,27,405138
90083,336,113939,0.32,self-employed,25,244870
90084,539,75325,0.14,self-employed,48,42452
90085,429,103713,0.43,employed,36,218272
90086,727,78390,0.4,self-employed,61,310775
90087,307,181315,0.28,self-employed,39,409849
90088,314,182815,0.2,employed,64,407020
90089,547,99766,0.52,self-employed,58,173067
90090,723,99483,0.34,unemployed,30,247387
90091,474,148005,0.55,unemployed,40,133622
90092,501,105764,0.43,self-employed,33,488771
90093,641,58157,0.35,unemployed,47,282977
90094,434,48043,0.39,employed,35,458251
90095,527,62695,0.3,unemployed,27,136458
90096,302,20273,0.25,unemployed,54,76369
90097,549,154132,0.23,unemployed,22,352421
90098,410,133557,0.34,employed,27,442448
90099,616,117181,0.3,employed,32,340536
90100,411,23892,0.45,self-employed,21,45480
90101,392,27011,0.31,employed,33,390160
90102,356,67238,0.55,self-employed,33,172640
90103,502,141045,0.5,unemployed,46,384505
90104,443,78137,0.54,employed,64,467226
90105,673,39793,0.55,employed,46,83430
90106,323,113047,0.54,self-employed,52,305779
90107,773,188391,0.58,employed,43,153828
90108,577,95726,0.25,employed,43,143341
90109,638,26793,0.28,unemployed,54,37028
90110,536,182443,0.24,self-employed,54,451183
90111,817,120850,0.19,employed,32,190979
90112,618,136641,0.21,self-employed,50,36982
90113,354,107174,0.59,unemployed,65,157936
90114,730,26975,0.2,employed,57,146085
90115,319,64799,0.53,self-employed,45,370296
90116,491,170171,0.3,employed,51,408309
90117,380,111352,0.22,unemployed,43,83822
90118,358,189248,0.32,unemployed,57,166686
90119,363,190344,0.21,employed,37,138086
90120,691,114447,0.54,unemployed,54,382662
90121,832,33689,0.55,unemployed,58,219690
90122,602,54777,0.36,self-employed,48,32402
90123,361,62295,0.43,unemployed,28,273469
90124,547,193109,0.25,unemployed,32,84955
90125,413,32984,0.2,unemployed,48,363746
90126,767,72766,0.13,employed,42,443684
90127,427,56703,0.57,unemployed,57,346800
90128,386,182779,0.45,self-employed,34,20485
90129,731,170208,0.32,employed,65,159748
90130,627,120314,0.39,employed,37,44903
90131,373,75292,0.2,self-employed,30,75829
90132,377,46337,0.3,self-employed,63,409990
90133,562,170403,0.51,employed,41,490546
90134,834,35350,0.11,self-employed,60,315090
90135,843,125787,0.16,employed,55,375973
90136,717,120599,0.26,employed,58,386776
90137,506,29481,0.34,unemployed,44,319403
90138,317,42887,0.48,unemployed,64,95299
90139,439,129905,0.31,self-employed,52,199587
90140,615,131136,0.24,self-employed,28,229559
90141,656,80279,0.22,unemployed,25,248802
90142,365,74125,0.31,self-employed,25,404309
90143,547,191278,0.39,unemployed,62,396419
90144,833,33983,0.29,self-employed,36,240360
90145,523,182593,0.25,self-employed,30,389075
90146,583,121805,0.14,employed,29,67565
90147,684,128534,0.29,employed,59,442031
90148,500,138223,0.21,employed,61,257772
90149,784,99730,0.49,unemployed,33,200716
90150,716,154145,0.57,unemployed,37,193788
90151,554,174090,0.29,self-employed,24,470837
90152,621,115331,0.19,unemployed,24,259456
90153,574,77038,0.53,employed,45,159840
90154,516,69069,0.15,unemployed,29,328907
90155,552,96968,0.13,employed,47,486094
90156,757,96992,0.12,employed,32,435946
90157,423,31815,0.32,unemployed,52,460484
90158,413,42719,0.59,self-employed,40,74086
90159,735,59261,0.15,employed,60,366110
90160,531,65023,0.53,self-employed,33,374415
90161,730,60696,0.51,self-employed,65,188189
90162,705,67109,0.24,unemployed,39,346408
90163,330,43979,0.1,self-employed,29,408956
90164,354,58774,0.53,employed,33,43398
90165,757,140577,0.38,self-employed,60,365767
90166,363,31629,0.49,employed,38,100869
90167,767,108064,0.17,self-employed,32,303694
90168,644,22724,0.29,self-employed,23,35011
90169,586,99180,0.59,employed,41,342364
90170,648,21624,0.34,unemployed,56,467726
90171,609,160939,0.2,self-employed,40,390067
90172,521,135796,0.58,self-employed,58,451541
90173,447,113458,0.18,self-employed,45,147794
90174,485,168761,0.38,self-employed,38,352425
90175,448,160295,0.51,self-employed,65,280161
90176,479,47054,0.21,unemployed,52,210635
90177,493,90477,0.58,unemployed,56,262370
90178,412,101085,0.38,unemployed,56,350484
90179,355,72390,0.44,unemployed,23,40391
90180,560,64978,0.5,self-employed,24,292185
90181,679,162996,0.3,self-employed,59,384458
90182,769,55618,0.15,self-employed,27,402154
90183,560,62486,0.48,unemployed,36,278979
90184,670,199055,0.44,self-employed,25,467118
90185,330,37789,0.55,self-employed,57,136239
90186,636,106208,0.27,employed,61,108983
90187,773,136363,0.47,unemployed,34,249454
90188,738,162405,0.54,self-employed,56,48958
90189,505,21810,0.26,self-employed,49,217991
90190,643,126405,0.48,unemployed,29,178499
90191,763,54339,0.27,self-employed,47,344876
90192,327,140861,0.17,self-employed,46,261672
90193,507,117299,0.37,employed,60,50370
90194,351,125952,0.54,unemployed,36,287362
90195,403,36020,0.2,self-employed,40,264464
90196,342,148425,0.57,employed,24,15499
90197,583,199206,0.43,self-employed,31,20260
90198,315,134975,0.41,self-employed,57,312555
90199,618,171201,0.54,unemployed,58,463845
90200,750,21499,0.25,unemployed,53,297815
90201,532,44222,0.48,unemployed,32,224004
90202,736,142321,0.44,employed,26,103643
90203,515,85214,0.37,unemployed,23,90869
90204,672,159154,0.16,employed,65,401545
90205,816,182545,0.22,self-employed,38,77996
90206,541,67028,0.26,self-employed,30,470449
90207,757,32068,0.52,self-employed,55,9086
90208,739,39999,0.53,employed,43,454732
90209,490,164859,0.38,employed,50,296239
90210,442,31794,0.49,unemployed,57,385896
90211,711,127517,0.15,unemployed,64,495715
90212,780,125841,0.48,self-employed,30,35473
90213,579,166579,0.13,self-employed,55,116889
90214,427,171863,0.41,employed,62,468556
90215,427,73942,0.37,unemployed,25,338655
90216,435,81035,0.1,self-employed,22,38404
90217,584,183215,0.18,employed,24,412549
90218,597,147351,0.49,self-employed,30,157647
90219,336,46045,0.39,self-employed,22,430788
90220,721,184665,0.19,employed,43,477479
90221,421,108396,0.24,employed,50,7496
90222,642,114890,0.39,employed,64,253667
90223,543,30965,0.58,employed,49,465047
90224,675,140359,0.31,self-employed,43,461154
90225,686,29287,0.23,employed,22,180634
90226,806,139084,0.15,employed,37,27137
